,Workshop,Paper title,Link to article,Author-1,Author-1_affiliation,Author-1_country,Author-2,Author-2_affiliation,Author-2_country,Author-3,Author-3_affiliation,Author-3_country,Author-4,Author-4_affiliation,Author-4_country,Author-5,Author-5_affiliation,Author-5_country,Author-6,Author-6_affiliation,Author-6_country,Author-7,Author-7_affiliation,Author-7_country,Paper abstract,Paper Keyword,Paper Categories,Normalised abstract,title,Number_of_authors,citation
27,2009,Linking and Navigating Data in a P2P File-Sharing Network,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper10.pdf,Alan Davoust,Carleton University, Canada,Babak Esfandiari,Carleton University, Canada,,,,,,,,,,,,,,,,"We demonstrate a tool for publishing and navigating linked
data over the highly dynamic infrastructure of a P2P filesharing network. Our links are based on a URI scheme which
allows unambiguous designation of replicated data items, regardless of their location in the network. In a true decentralized P2P spirit, users publish and distribute the links
just like other data items.
","Peer-to-peer, linked data, URI, demo",H.5.4 [Hypertext/Hypermedia]: Navigation,"['demonstrate', 'tool', 'publishing', 'navigating', 'linked', 'data', 'highly', 'dynamic', 'infrastructure', 'p2p', 'filesharing', 'network', 'link', 'based', 'uri', 'scheme', 'allows', 'unambiguous', 'designation', 'replicated', 'data', 'item', 'regardless', 'location', 'network', 'true', 'decentralized', 'p2p', 'spirit', 'user', 'publish', 'distribute', 'link', 'like', 'data', 'item']",linking and navigating data in a p2p file-sharing network,2,2
28,2009,Interlinking Distributed Social Graphs,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper5.pdf,Matthew Rowe,University of Sheffield, United Kingdom,,,,,,,,,,,,,,,,,,,"The rise in use of the social web has forced web users to
duplicate their identity in fragmented information spaces.
Commonly these spaces contain rich identity representations
hidden within walled garden data silos. This paper presents
work to export social graphs from such data silos as RDF
datasets, and provide linkage between these social graphs
according to a graph matching paradigm. Our work contributes to the linked data movement by providing a decentralised social graph containing linked data describing
fragmented identity components.
","Semantic Web, Social Web, Linked Data, RDF, FOAF",H.4 [Information Systems Applications]: General,"['rise', 'use', 'social', 'web', 'ha', 'forced', 'web', 'user', 'duplicate', 'identity', 'fragmented', 'information', 'space', 'commonly', 'space', 'contain', 'rich', 'identity', 'representation', 'hidden', 'within', 'walled', 'garden', 'data', 'silo', 'paper', 'present', 'work', 'export', 'social', 'graph', 'data', 'silo', 'rdf', 'datasets', 'provide', 'linkage', 'social', 'graph', 'according', 'graph', 'matching', 'paradigm', 'work', 'contributes', 'linked', 'data', 'movement', 'providing', 'decentralised', 'social', 'graph', 'containing', 'linked', 'data', 'describing', 'fragmented', 'identity', 'component']",interlinking distributed social graphs,1,48
29,2009,Publishing XBRL as Linked Open Data,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper6.pdf,Roberto Garca,Universitat de Lleida , Spain,Rosa Gil,Universitat de Lleida , Spain,,,,,,,,,,,,,,,,"The XML Business Reporting Language (XBRL) is a standard for
business and financial information reporting. It is based on XML
so instance documents based on XBRL, e.g. a quarterly report, are
highly constrained by the XML document-oriented nature. This
makes more difficult to perform queries that mix information
from filings from different dates, companies, or accounting
principles than with a formalism based on a graph model instead
of a tree model. Semantic Web technologies provide a graph
model that facilitates mashing-up different XBRL sources. We
have put into practice this approach mapping the XBRL filings
available from the SECâs EDGAR program to Resource
Description Framework (RDF) and the XML Schema taxonomies
these filings are based on to Web Ontology Language (OWL).
The resulting semantic metadata, though highly tied to the XML
structure it is mapped from, benefits from Semantic Web
technologies and tools in order to facilitate integration and crossquerying, even together with other parts of the Web of Linked
Data.","Business, reporting, Semantic Web, Linked Data, Web 3.0, accounting, finance, interoperability.",,"['xml', 'business', 'reporting', 'language', 'xbrl', 'standard', 'business', 'financial', 'information', 'reporting', 'based', 'xml', 'instance', 'document', 'based', 'xbrl', 'quarterly', 'report', 'highly', 'constrained', 'xml', 'document', 'oriented', 'nature', 'make', 'difficult', 'perform', 'query', 'mix', 'information', 'filing', 'different', 'date', 'company', 'accounting', 'principle', 'formalism', 'based', 'graph', 'model', 'instead', 'tree', 'model', 'semantic', 'web', 'technology', 'provide', 'graph', 'model', 'facilitates', 'mashing', 'different', 'xbrl', 'source', 'put', 'practice', 'approach', 'mapping', 'xbrl', 'filing', 'available', 'secâ', 'edgar', 'program', 'resource', 'description', 'framework', 'rdf', 'xml', 'schema', 'taxonomy', 'filing', 'based', 'web', 'ontology', 'language', 'owl', 'resulting', 'semantic', 'metadata', 'though', 'highly', 'tied', 'xml', 'structure', 'mapped', 'benefit', 'semantic', 'web', 'technology', 'tool', 'order', 'facilitate', 'integration', 'crossquerying', 'even', 'together', 'part', 'web', 'linked', 'data']",publishing xbrl as linked open data,2,35
30,2009,Bringing the Thesaurus for Economics on to the Web of Linked Data,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper7.pdf,Joachim Neubert,Leibniz Information Centre for Economics, Germany,,,,,,,,,,,,,,,,,,,"Thesauri are possible building blocks of a web of linked data. As
DBpedia for large data sets in general, specialized thesauri could
be useful as interlinking hubs for professional communities â if
they are available on the linked data web. The paper describes the
conversion of a large economics thesaurus to RDF/SKOS, using
the enhancement mechanisms of SKOS to dispose some nonstandard features of this thesaurus. The deployment, using RDFa
pages, and the interlinking with other resources, namely a library
catalog, and an experimental mapping to DBpedia are presented.
For information retrieval support, a SPARQL query facility uses
the data for building a thesaurus-backed terminology web service.","Thesaurus, SKOS, RDFa, Web Service, REST, Library, Catalog, Economics",H.3.1 [Content Analysis and Indexing] Thesauruses; I.2.4 [Knowledge Representation Formalisms and Methods] Semantic networks; H.3.7 [Digital Libraries] Standards,"['thesaurus', 'possible', 'building', 'block', 'web', 'linked', 'data', 'dbpedia', 'large', 'data', 'set', 'general', 'specialized', 'thesaurus', 'could', 'useful', 'interlinking', 'hub', 'professional', 'community', 'available', 'linked', 'data', 'web', 'paper', 'describes', 'conversion', 'large', 'economics', 'thesaurus', 'rdf', 'skos', 'using', 'enhancement', 'mechanism', 'skos', 'dispose', 'nonstandard', 'feature', 'thesaurus', 'deployment', 'using', 'rdfa', 'page', 'interlinking', 'resource', 'namely', 'library', 'catalog', 'experimental', 'mapping', 'dbpedia', 'presented', 'information', 'retrieval', 'support', 'sparql', 'query', 'facility', 'us', 'data', 'building', 'thesaurus', 'backed', 'terminology', 'web', 'service']",bringing the thesaurus for economics on to the web of linked data,1,75
31,2009,Adding eScience Assets to the Data Web,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper8.pdf,Herbert Van de Sompel,Los Alamos National Laboratory, US,Carl Lagoze,Cornell University, US,Michael L. Nelson,Old Dominion University, US,Simeon Warner,Cornell University, US,Robert Sanderson,University of Liverpool, United Kingdom,Pete Johnston,Eduserv Foundation, United Kingdom,,,,"Aggregations of Web resources are increasingly important in
scholarship as it adopts new methods that are data-centric,
collaborative, and networked-based. The same notion of aggregations of resources is common to the mashed-up, socially
networked information environment of Web 2.0. We present
a mechanism to identify and describe aggregations of Web
resources that has resulted from the Open Archives Initiative - Object Reuse and Exchange (OAI-ORE) project. The
OAI-ORE specifications are based on the principles of the
Architecture of the World Wide Web, the Semantic Web,
and the Linked Data effort. Therefore, their incorporation
into the cyberinfrastructure that supports eScholarship will
ensure the integration of the products of scholarly research
into the Data Web.","Cyberinfrastructure, eScience, OAI-ORE, Web Architecture, Linked Data, RDF, Atom",H.5.4 [Information Systems]: Hypertext/Hypermediav,"['aggregation', 'web', 'resource', 'increasingly', 'important', 'scholarship', 'adopts', 'new', 'method', 'data', 'centric', 'collaborative', 'networked', 'based', 'notion', 'aggregation', 'resource', 'common', 'mashed', 'socially', 'networked', 'information', 'environment', 'web', 'present', 'mechanism', 'identify', 'describe', 'aggregation', 'web', 'resource', 'ha', 'resulted', 'open', 'archive', 'initiative', 'object', 'reuse', 'exchange', 'oai', 'ore', 'project', 'oai', 'ore', 'specification', 'based', 'principle', 'architecture', 'world', 'wide', 'web', 'semantic', 'web', 'linked', 'data', 'effort', 'therefore', 'incorporation', 'cyberinfrastructure', 'support', 'escholarship', 'ensure', 'integration', 'product', 'scholarly', 'research', 'data', 'web']",adding escience assets to the data web,6,25
32,2009,Enabling Tailored Therapeutics with Linked Data,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper9.pdf,Anja Jentzsch,Freie Universitt Berlin, Germany,Bo Andersson,AstraZeneca R&D Lund , Sweden,Oktie Hassanzadeh,University of Toronto, Canada,Susie Stephens,Eli Lilly and Company, US,Christian Bizer,Freie Universitt Berlin, Germany,,,,,,,"Advances in the biological sciences are allowing pharmaceutical
companies to meet the health care crisis with drugs that are more
suitable for preventive and tailored treatment, thereby holding the
promise of enabling more cost effective care with greater efficacy
and reduced side effects. However, this shift in business model
increases the need for companies to integrate data across drug
discovery, drug development, and clinical practice. This is a
fundamental shift from the approach of limiting integration
activities to functional areas. The Linked Data approach holds
much potential for enabling such connectivity between data silos,
thereby enabling pharmaceutical companies to meet the urgent
needs in society for more tailored health care. This paper
examines the applicability and potential benefits of using Linked
Data to connect drug and clinical trials related data sources and
gives an overview of ongoing work within the W3C's Semantic
Web for Health Care and Life Sciences Interest Group on
publishing drug related data sets on the Web and interlinking
them with existing Linked Data sources. A use case is provided
that demonstrates the immediate benefit of this work in enabling
data to be browsed from disease, to clinical trials, drugs, targets
and companies.","Linked Data, Semantic Web, Tailored Therapeutics, Drugs, Clinical Trials, Competitive Intelligence",H.3.5 [Online Information Services]: Data Sharing,"['advance', 'biological', 'science', 'allowing', 'pharmaceutical', 'company', 'meet', 'health', 'care', 'crisis', 'drug', 'suitable', 'preventive', 'tailored', 'treatment', 'thereby', 'holding', 'promise', 'enabling', 'cost', 'effective', 'care', 'greater', 'efficacy', 'reduced', 'side', 'effect', 'however', 'shift', 'business', 'model', 'increase', 'need', 'company', 'integrate', 'data', 'across', 'drug', 'discovery', 'drug', 'development', 'clinical', 'practice', 'fundamental', 'shift', 'approach', 'limiting', 'integration', 'activity', 'functional', 'area', 'linked', 'data', 'approach', 'hold', 'much', 'potential', 'enabling', 'connectivity', 'data', 'silo', 'thereby', 'enabling', 'pharmaceutical', 'company', 'meet', 'urgent', 'need', 'society', 'tailored', 'health', 'care', 'paper', 'examines', 'applicability', 'potential', 'benefit', 'using', 'linked', 'data', 'connect', 'drug', 'clinical', 'trial', 'related', 'data', 'source', 'give', 'overview', 'ongoing', 'work', 'within', 'w3c', 'semantic', 'web', 'health', 'care', 'life', 'science', 'interest', 'group', 'publishing', 'drug', 'related', 'data', 'set', 'web', 'interlinking', 'existing', 'linked', 'data', 'source', 'use', 'case', 'provided', 'demonstrates', 'immediate', 'benefit', 'work', 'enabling', 'data', 'browsed', 'disease', 'clinical', 'trial', 'drug', 'target', 'company']",enabling tailored therapeutics with linked data,5,63
33,2009,Managing Co-reference on the Semantic Web,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper11.pdf,Hugh Glaser,University of Southampton, United Kingdom,Afraz Jaffri,University of Southampton, United Kingdom,Ian C. Millard,University of Southampton, United Kingdom,,,,,,,,,,,,,"Co-reference resolution, or the determination of âequivalentâ
URIs referring to the same concept or entity, is a significant
hurdle to overcome in the realisation of large scale Semantic Web applications. However, it has only recently gained
the attention of research communities in the Semantic Web
context, and while activities are now underway in identifying
co-referent or conflated URIs, little consideration has been
given to tools and techniques for storing, manipulating, and
reusing co-reference information.
This paper provides an overview of the specification, implementation, interactions and experiences in using the Coreference Resolution Service (CRS) to facilitate rigorous management of URI co-reference data, and enable interoperation
between multiple Linked Open Data sources. Comparisons
are made throughout the paper contrasting the differences
in the way the CRS manages multiple URIs for the same
resource with the emerging practice of using owl:sameAs to
identify duplicate URIs. The advantages and benefits that
have been gained from deploying the CRS on a site with
multiple Linked Data repositories are also highlighted.","Co-reference, Linked Data, Semantic Web","H.3.5 [Information Systems]: Information storage and retrievalâOnline Information Services â data sharing, web based services","['co', 'reference', 'resolution', 'determination', 'equivalentâ', 'uris', 'referring', 'concept', 'entity', 'significant', 'hurdle', 'overcome', 'realisation', 'large', 'scale', 'semantic', 'web', 'application', 'however', 'ha', 'recently', 'gained', 'attention', 'research', 'community', 'semantic', 'web', 'context', 'activity', 'underway', 'identifying', 'co', 'referent', 'conflated', 'uris', 'little', 'consideration', 'ha', 'given', 'tool', 'technique', 'storing', 'manipulating', 'reusing', 'co', 'reference', 'information', 'paper', 'provides', 'overview', 'specification', 'implementation', 'interaction', 'experience', 'using', 'coreference', 'resolution', 'service', 'cr', 'facilitate', 'rigorous', 'management', 'uri', 'co', 'reference', 'data', 'enable', 'interoperation', 'multiple', 'linked', 'open', 'data', 'source', 'comparison', 'made', 'throughout', 'paper', 'contrasting', 'difference', 'way', 'cr', 'manages', 'multiple', 'uris', 'resource', 'emerging', 'practice', 'using', 'owl', 'sameas', 'identify', 'duplicate', 'uris', 'advantage', 'benefit', 'gained', 'deploying', 'cr', 'site', 'multiple', 'linked', 'data', 'repository', 'also', 'highlighted']",managing co-reference on the semantic web,3,141
34,2009,Linked Movie Data Base,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper12.pdf,Oktie Hassanzadeh,University of Toronto, Canada,Mariano Consens,University of Toronto, Canada,,,,,,,,,,,,,,,,"The Linked Movie Database (LinkedMDB) project provides
a demonstration of the first open linked dataset connecting several major existing (and highly popular) movie web
resources. The database exposed by LinkedMDB contains
millions of RDF triples with hundreds of thousands of RDF
links to existing web data sources that are part of the growing Linking Open Data cloud, as well as to popular movie related web pages such as IMDb. LinkedMDB uses a novel
way of creating and maintaining large quantities of high
quality links by employing state-of-the-art approximate join
techniques for finding links, and providing additional RDF
metadata about the quality of the links and the techniques
used for deriving them.","Linked Data, Semantic Web, Semantic Link Discovery, Record Linkage, Movie Database",,"['linked', 'movie', 'database', 'linkedmdb', 'project', 'provides', 'demonstration', 'first', 'open', 'linked', 'dataset', 'connecting', 'several', 'major', 'existing', 'highly', 'popular', 'movie', 'web', 'resource', 'database', 'exposed', 'linkedmdb', 'contains', 'million', 'rdf', 'triple', 'hundred', 'thousand', 'rdf', 'link', 'existing', 'web', 'data', 'source', 'part', 'growing', 'linking', 'open', 'data', 'cloud', 'well', 'popular', 'movie', 'related', 'web', 'page', 'imdb', 'linkedmdb', 'us', 'novel', 'way', 'creating', 'maintaining', 'large', 'quantity', 'high', 'quality', 'link', 'employing', 'state', 'art', 'approximate', 'join', 'technique', 'finding', 'link', 'providing', 'additional', 'rdf', 'metadata', 'quality', 'link', 'technique', 'used', 'deriving']",linked movie data base,2,162
35,2009,Silk- A Link Discovery Framework for the Web of Data,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper13.pdf,Julius Volz,Chemnitz University of Technology, Germany,Christian Bizer,Freie Universitt Berlin, Germany,Martin Gaedke,Chemnitz University of Technology, Germany,Georgi Kobilarov,Freie Universitt Berlin, Germany,,,,,,,,,,"The Web of Data is built upon two simple ideas: Employ the RDF
data model to publish structured data on the Web and to set
explicit RDF links between entities within different data sources.
This paper presents the Silk â Link Discovery Framework, a tool
for finding relationships between entities within different data
sources. Data publishers can use Silk to set RDF links from their
data sources to other data sources on the Web. Silk features a
declarative language for specifying which types of RDF links
should be discovered between data sources as well as which
conditions entities must fulfill in order to be interlinked. Link
conditions may be based on various similarity metrics and can
take the graph around entities into account, which is addressed
using a path-based selector language. Silk accesses data sources
over the SPARQL protocol and can thus be used without having
to replicate datasets locally.","Linked data, link discovery, record linkage, similarity, RDF",H.2.3 [Database Management]: Languages ,"['web', 'data', 'built', 'upon', 'two', 'simple', 'idea', 'employ', 'rdf', 'data', 'model', 'publish', 'structured', 'data', 'web', 'set', 'explicit', 'rdf', 'link', 'entity', 'within', 'different', 'data', 'source', 'paper', 'present', 'silk', 'link', 'discovery', 'framework', 'tool', 'finding', 'relationship', 'entity', 'within', 'different', 'data', 'source', 'data', 'publisher', 'use', 'silk', 'set', 'rdf', 'link', 'data', 'source', 'data', 'source', 'web', 'silk', 'feature', 'declarative', 'language', 'specifying', 'type', 'rdf', 'link', 'discovered', 'data', 'source', 'well', 'condition', 'entity', 'must', 'fulfill', 'order', 'interlinked', 'link', 'condition', 'may', 'based', 'various', 'similarity', 'metric', 'take', 'graph', 'around', 'entity', 'account', 'addressed', 'using', 'path', 'based', 'selector', 'language', 'silk', 'access', 'data', 'source', 'sparql', 'protocol', 'thus', 'used', 'without', 'replicate', 'datasets', 'locally']",silk- a link discovery framework for the web of data,4,507
36,2009, Data Mashup Language for the Data Web ,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper14.pdf,Mustafa Jarrar,University of Cyprus, Cyprus,Marios D. Dikaiakos,University of Cyprus, Cyprus,,,,,,,,,,,,,,,,"This paper is motivated by the massively increasing structured
data on the Web (Data Web), and the need for novel methods to
exploit these data to their full potential. Building on the
remarkable success of Web 2.0 mashups, this paper regards the
internet as a database, where each web data source is seen as a
table, and a mashup is seen as a query over these sources. We
propose a data mashup language, which allows people to
intuitively query and mash up structured and linked data on the
web. Unlike existing query methods, the novelty of MashQL is
that it allows people to navigate, query, and mash up a data
source(s) without any prior knowledge about its schema,
vocabulary, or technical details. We even do not assume even that
a data source should an online or inline schema. Furthermore,
MashQL supports query pipes as a built-in concept, rather than
only a visualization of links between modules. ",,,"['paper', 'motivated', 'massively', 'increasing', 'structured', 'data', 'web', 'data', 'web', 'need', 'novel', 'method', 'exploit', 'data', 'full', 'potential', 'building', 'remarkable', 'success', 'web', 'mashups', 'paper', 'regard', 'internet', 'database', 'web', 'data', 'source', 'seen', 'table', 'mashup', 'seen', 'query', 'source', 'propose', 'data', 'mashup', 'language', 'allows', 'people', 'intuitively', 'query', 'mash', 'structured', 'linked', 'data', 'web', 'unlike', 'existing', 'query', 'method', 'novelty', 'mashql', 'allows', 'people', 'navigate', 'query', 'mash', 'data', 'source', 'without', 'prior', 'knowledge', 'schema', 'vocabulary', 'technical', 'detail', 'even', 'assume', 'even', 'data', 'source', 'online', 'inline', 'schema', 'furthermore', 'mashql', 'support', 'query', 'pipe', 'built', 'concept', 'rather', 'visualization', 'link', 'module']", data mashup language for the data web ,2,23
37,2009,Towards Data Fusion in a Multi-ontology Environment,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper15.pdf,Andriy Nikolov,Open University, United Kingdom,Victoria Uren,Open University, United Kingdom,Enrico Motta,Open University, United Kingdom,,,,,,,,,,,,,"With the growing amount of semantic data being published
on the Web the problem of finding individuals in different
datasets which correspond to the same entity is gaining importance. Given that datasets are often structured using
different ontologies, automatic schema-matching techniques
have to be utilized before proceeding with data-level alignment. In this paper we discuss how ontology schema mismatches influence data-level alignment based on our first
experience with implementing a data fusion tool for a multiontology environment.","Data fusion, coreference resolution, linked data",H.4.m [Information Systems]: Miscellaneous; D.2 [Software]: Software Engineering,"['growing', 'amount', 'semantic', 'data', 'published', 'web', 'problem', 'finding', 'individual', 'different', 'datasets', 'correspond', 'entity', 'gaining', 'importance', 'given', 'datasets', 'often', 'structured', 'using', 'different', 'ontology', 'automatic', 'schema', 'matching', 'technique', 'utilized', 'proceeding', 'data', 'level', 'alignment', 'paper', 'discus', 'ontology', 'schema', 'mismatch', 'influence', 'data', 'level', 'alignment', 'based', 'first', 'experience', 'implementing', 'data', 'fusion', 'tool', 'multiontology', 'environment']",towards data fusion in a multi-ontology environment,3,15
38,2009,A Query-Driven Characterization of Linked Data,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper16.pdf,Harry Halpin,University of Edinburgh, United Kingdom,,,,,,,,,,,,,,,,,,,"Due to the Linked Data initiative, the once unpopulated Semantic Web is now rapidly being populated with millions
of facts stored in RDF. Could any of this data possibly be
interesting to ordinary users? In this study, we run queries
extracted from a query log from a major hypertext search
engine against a Semantic Web search engine to determine
if the Semantic Web has anything of interest to the average Web user. There is indeed much Semantic Web information that could be relevant for many queries for entities (like people and places) and abstract concepts, although
these possibly relevant results are overwhelmingly clustered
around DBPedia. We present an empirical analysis of the
results, focusing on their major sources, the structure of the
triples, the use of various RDF and OWL constructs, and
the power-law distributions produced by both the URIs that
serve Linked Data and the URIs in the triples themselves.
The issue of 303 re","Linked Data statistics, query logs, information retrieval,power law",H.3.d [Information Technology and Systems]: Metadata,"['due', 'linked', 'data', 'initiative', 'unpopulated', 'semantic', 'web', 'rapidly', 'populated', 'million', 'fact', 'stored', 'rdf', 'could', 'data', 'possibly', 'interesting', 'ordinary', 'user', 'study', 'run', 'query', 'extracted', 'query', 'log', 'major', 'hypertext', 'search', 'engine', 'semantic', 'web', 'search', 'engine', 'determine', 'semantic', 'web', 'ha', 'anything', 'interest', 'average', 'web', 'user', 'indeed', 'much', 'semantic', 'web', 'information', 'could', 'relevant', 'many', 'query', 'entity', 'like', 'people', 'place', 'abstract', 'concept', 'although', 'possibly', 'relevant', 'result', 'overwhelmingly', 'clustered', 'around', 'dbpedia', 'present', 'empirical', 'analysis', 'result', 'focusing', 'major', 'source', 'structure', 'triple', 'use', 'various', 'rdf', 'owl', 'construct', 'power', 'law', 'distribution', 'produced', 'uris', 'serve', 'linked', 'data', 'uris', 'triple', 'issue']",a query-driven characterization of linked data,1,25
39,2009,Interlinking Multimedia how to apply linked data principles to multimedia fragments,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper17.pdf,Michael Hausenblas,National University of Ireland, Ireland,Raphal Troncy,CWI Amsterdam, The Netherlands,Tobias Brger,STI Innsbruck, Austria,Yves Raimond,BBC Audio & Music interactive, United Kingdom,,,,,,,,,,"In this paper, we introduce interlinking multimedia (iM), a
pragmatic way to apply the linked data principles to fragments of multimedia items. We report on use cases showing
the need for retrieving and describing multimedia fragments.
We then introduce the principles for interlinking multimedia in the Web of Data, discussing potential solutions which
sometimes highlight controversial debates regarding what
the various representations of a Web resource span. We
finally present methods for enabling a widespread use of interlinking multimedia.
","Linked Data, Media Fragments, Media Annotations","H.4.m [Information Systems]: Miscellaneous; I.7.2 [Document Preparation]: Languages and systems, Markup languages, Multi/mixed media, Standards; I.2.4 [Knowledge Representation Formalisms and Methods]: Representation languages","['paper', 'introduce', 'interlinking', 'multimedia', 'im', 'pragmatic', 'way', 'apply', 'linked', 'data', 'principle', 'fragment', 'multimedia', 'item', 'report', 'use', 'case', 'showing', 'need', 'retrieving', 'describing', 'multimedia', 'fragment', 'introduce', 'principle', 'interlinking', 'multimedia', 'web', 'data', 'discussing', 'potential', 'solution', 'sometimes', 'highlight', 'controversial', 'debate', 'regarding', 'various', 'representation', 'web', 'resource', 'span', 'finally', 'present', 'method', 'enabling', 'widespread', 'use', 'interlinking', 'multimedia']",interlinking multimedia how to apply linked data principles to multimedia fragments,4,56
40,2009,Provenance Information in the Web of Data,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper18.pdf,Olaf Hartig,Universitat zu Berlin, Germany,,,,,,,,,,,,,,,,,,,"The openness of the Web and the ease to combine linked
data from different sources creates new challenges. Systems
that consume linked data must evaluate quality and trustworthiness of the data. A common approach for data quality
assessment is the analysis of provenance information. For
this reason, this paper discusses provenance of data on the
Web and proposes a suitable provenance model. While traditional provenance research usually addresses the creation
of data, our provenance model also represents data access,
a dimension of provenance that is particularly relevant in
the context of Web data. Based on our model we identify
options to obtain provenance information and we raise open
questions concerning the publication of provenance-related
metadata for linked data on the Web.
","Provenance, Lineage, Web Data, Web of Data, Linked Data",I.2.4 [Computing Methodologies]: Knowledge Representation Formalisms and Methods; H.3.3 [Information Systems]: Information Search and Retrieval,"['openness', 'web', 'ease', 'combine', 'linked', 'data', 'different', 'source', 'creates', 'new', 'challenge', 'system', 'consume', 'linked', 'data', 'must', 'evaluate', 'quality', 'trustworthiness', 'data', 'common', 'approach', 'data', 'quality', 'assessment', 'analysis', 'provenance', 'information', 'reason', 'paper', 'discus', 'provenance', 'data', 'web', 'proposes', 'suitable', 'provenance', 'model', 'traditional', 'provenance', 'research', 'usually', 'address', 'creation', 'data', 'provenance', 'model', 'also', 'represents', 'data', 'access', 'dimension', 'provenance', 'particularly', 'relevant', 'context', 'web', 'data', 'based', 'model', 'identify', 'option', 'obtain', 'provenance', 'information', 'raise', 'open', 'question', 'concerning', 'publication', 'provenance', 'related', 'metadata', 'linked', 'data', 'web']",provenance information in the web of data,1,256
41,2009,An Ontology of Resources for Linked Data,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper19.pdf,Harry Halpin,University of Edinburgh, United Kingdom,Valentina Presutti,Semantic Technology Laboratory, Italy,,,,,,,,,,,,,,,,"The primary goal of the Semantic Web is to use URIs as
a universal space to name anything, expanding from using
URIs for webpages to URIs for âreal objects and imaginary concepts,â as phrased by Berners-Lee. This distinction has often been tied to the distinction between information resources, like webpages and multimedia files, and
non-information resources, which are everything from real
people to abstract concepts like âthe integers.â Furthermore,
the W3C has recommended not to use the same URI for
information resources and non-information resources, and
several communities like the Linked Data initiative are deploying this principle. The definition put forward by the
W3C, that information resources are things whose âessential nature is informationâ is a difficult distinction at best.
For example, would the text of Moby Dick be an information
resource? While this problem could safely be ignored up until recently, with the rise of Linked Data and projects like
OKKAM, it appears that this problem should be modelled
formally. An ontology called IRW (Identity and Reference
on the Web) of various types of resources and their relationships, both for the hypertext Web and Linked Data, is
presented. It builds upon Information Object Lite (an extension of DOLCE Ultra Lite for describing information objects) and IRE (an earlier ontology of and aligns with other
work in this area. This ontology can be used as a tool to
make Linked Data more self-describing and to allow inference to be used to test for membership in various classes of
resources.","Linked Data, ontology, resource, Web architecture",H.3.d [Information Technology and Systems]: Metadata,"['primary', 'goal', 'semantic', 'web', 'use', 'uris', 'universal', 'space', 'name', 'anything', 'expanding', 'using', 'uris', 'webpage', 'uris', 'real', 'object', 'imaginary', 'concept', 'phrased', 'berners', 'lee', 'distinction', 'ha', 'often', 'tied', 'distinction', 'information', 'resource', 'like', 'webpage', 'multimedia', 'file', 'non', 'information', 'resource', 'everything', 'real', 'people', 'abstract', 'concept', 'like', 'integer', 'furthermore', 'w3c', 'ha', 'recommended', 'use', 'uri', 'information', 'resource', 'non', 'information', 'resource', 'several', 'community', 'like', 'linked', 'data', 'initiative', 'deploying', 'principle', 'definition', 'put', 'forward', 'w3c', 'information', 'resource', 'thing', 'whose', 'essential', 'nature', 'informationâ', 'difficult', 'distinction', 'best', 'example', 'would', 'text', 'moby', 'dick', 'information', 'resource', 'problem', 'could', 'safely', 'ignored', 'recently', 'rise', 'linked', 'data', 'project', 'like', 'okkam', 'appears', 'problem', 'modelled', 'formally', 'ontology', 'called', 'irw', 'identity', 'reference', 'web', 'various', 'type', 'resource', 'relationship', 'hypertext', 'web', 'linked', 'data', 'presented', 'build', 'upon', 'information', 'object', 'lite', 'extension', 'dolce', 'ultra', 'lite', 'describing', 'information', 'object', 'ire', 'earlier', 'ontology', 'aligns', 'work', 'area', 'ontology', 'used', 'tool', 'make', 'linked', 'data', 'self', 'describing', 'allow', 'inference', 'used', 'test', 'membership', 'various', 'class', 'resource']",an ontology of resources for linked data,2,13
42,2009,"Describing Linked Datasets on the design and usage of void , the vocabulary of interlinked datasets",http://events.linkeddata.org/ldow2009/papers/ldow2009_paper20.pdf,Keith Alexander,Talis Ltd., United Kingdom,Richard Cyganiak,National University of Ireland, Ireland,Michael Hausenblas,National University of Ireland, Ireland,Jun Zhao,University of Oxford, United Kingdom,,,,,,,,,,"In this paper we discuss the design and implementation of
voiD, the âVocabulary Of Interlinked Datasetsâ, a vocabulary that allows to formally describe linked RDF datasets.
We report on use cases for voiD, the current state of the
specification and its potential applications in the context of
linked datasets.",,,"['paper', 'discus', 'design', 'implementation', 'void', 'vocabulary', 'interlinked', 'datasetsâ', 'vocabulary', 'allows', 'formally', 'describe', 'linked', 'rdf', 'datasets', 'report', 'use', 'case', 'void', 'current', 'state', 'specification', 'potential', 'application', 'context', 'linked', 'datasets']","describing linked datasets on the design and usage of void , the vocabulary of interlinked datasets",4,440
