Timestamp,Workshop,Paper title,Link to article,Author-1,Author-1_affiliation,Author-1_country,Author-2,Author-2_affiliation,Author-2_country,Author-3,Author-3_affiliation,Author-3_country,Author-4,Author-4_affiliation,Author-4_country,Author-5,Author-5_affiliation,Author-5_country,Author-6,Author-6_affiliation,Author-6_country,Author-7,Author-7_affiliation,Author-7_country,Paper abstract,Paper Keyword,Paper Categories
12/26/2020 22:01:29,2008,Linked Data Spaces & Data Portability,http://events.linkeddata.org/ldow2008/papers/20-idehen-erling-linked-data-spaces.pdf,Kingsley Idehen,OpenLink Software Inc, US,Orri Erling,OpenLink Software Inc, US,,,,,,,,,,,,,,,,"In the year 2007, the size of the Linked Data injected into the Web
grew to several billion RDF triples, served by a network of
interlinked data sources that cover domains such as general
knowledge, geographic information, people, companies, online
communities, films, music, books and scientific publications.
Unfortunately, the growth rate of User Generated content from a
variety of Web based unstructured and semi-structured data-silos
continues to exceed that of structured Linked Data. Thus, we have
a pressing need for technology, capable of bridging this
broadening divide via transparent generation of Linked Data from
existing data-silos on the Web. Our Linked Data technology
demonstration explores the use of the OpenLink Data Spaces
platform as a solution to this problem.","Linked Data, Semantic Web, SPARQL, Data Integration, Data Spaces",H.3.2 [Information Storage] H.3.3 [Information Search & Retrieval]
12/26/2020 22:04:11,2008,Linking Enterprise Data,http://events.linkeddata.org/ldow2008/papers/21-servant-linking-enterprise-data.pdf,François-Paul Servant,Renault, France,,,,,,,,,,,,,,,,,,,"The ‚ÄúLinking Open Data‚Äù community initiative contributed a
great deal to the concretization of the web of data, describing best
practice, publishing large sets of RDF data on the web, and
consequently giving birth to a new area of possibilities for
innovative mashups using these data. Enterprises‚Äô information
systems too can be envisioned as a space of linked data. We
describe herein how we used Linked Data principles in a work
intended to foster adoption of semantic web technologies in our
company.","RDF in the enterprise, RDF based web services, Linking Enterprise Data, Linked Data",H.4.m [Information Systems]: Miscellaneous; D.2 [Software]: Software Engineering
12/26/2020 22:06:15,2008,Meaning Of A Tag: A Collaborative Approach to Bridge the Gap Between Tagging and Linked Data,http://events.linkeddata.org/ldow2008/papers/22-passant-laublet-meaning-of-a-tag.pdf,Alexandre Passant,Electricité de France, France,Philippe Laublet,Université Paris, France,,Université Paris, France,,,,,,,,,,,,,"This paper introduces MOAT, a lightweight Semantic Web
framework that provides a collaborative way to let Web 2.0
content producers give meanings to their tags in a machinereadable way. To achieve this goal, this approach relies on
Linked Data principles, using URIs from existing resources
to define these meanings. That way, users can create interlinked RDF data and let their content enter the Semantic
Web, while solving some limits of free-tagging at the same
time.","Semantic Web, Web 2.0, Tagging, MOAT, Linked Data, Architecture of Participation, SIOC",
12/26/2020 22:08:50,2008,An Entity Name System for Linking Semantic Web Data,http://events.linkeddata.org/ldow2008/papers/23-bouquet-stoermer-entity-name-system.pdf,Paolo Bouquet,University of Trento, Italy,Heiko Stoermer,University of Trento, Italy,Daniele Cordioli,National University of Ireland, Ireland,,ExpertSystem s.p.a., Italy,,,,,,,,,,"In this paper, we argue that realizing the vision of the Semantic Web as an open and global decentralized knowledge space would greatly benefit from the availability of a
large-scale service which may enable the systematic reuse
of URIs across independently produced Semantic Web contents. Such a service, which we call an Entity Name System
(ENS), might play for the Semantic Web the role that the
DNS played for interlinking hypertexts on the Web. The key
idea behing the ENS is that any tool/application for creating content (not only Semantic Web) may be empowered
through simple plugins or extensions to interact with a network of ENS servers. Here we show how this has been done
in a few prototypes for MS Word, Prot¬¥eg¬¥e and an editor for
FOAF profiles","Semantic Web, Entity Name System, Identity",H.4 [Information Systems Applications]: Miscellaneous
12/26/2020 22:10:56,2009,Representing Linked Data as Virtual File Systems,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper1.pdf,Bernhard Schandl,University of Vienna, Austria,,,,,,,,,,,,,,,,,,,"One of the main characteristics of Linked Open Data (LOD)
is the exclusive application of standards published and maintained by the World Wide Web Consortium. This strict
adherence is kept on all levels, ranging from the identification and transportation (URI, HTTP) to the interpretation (RDF, RDFS, OWL) of resource descriptions. Because these standards are open and accessible to everybody,
broad acceptance and proliferation of LOD technologies in
Web-based applications and services are enabled. On typical desktops, however, the majority of applications are not
aware of Web standards, but use hierarchical file systems to
organize and store information. This results in a gap between the two distinct information spaces of the Web and
the desktop. To bridge this gap, we propose a virtual file
system representation of LOD sets, through which they can
be accessed as if they were present in the file system and
thus easily be used within desktop applications.","Linked Open Data, file systems, information representation, Semantic Desktop",D.4.3 [Operating Systems]: File Systems Management; H.3.5 [Information Storage and Retrieval]: Online Information Services
12/26/2020 22:12:15,2009,Explorator: a tool for exploring RDF data through direct manipulation.,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper2.pdf,Samur F. C.,Catholic University of Rio de Janeiro, Brazil,Daniel Schwabe,Catholic University of Rio de Janeiro, Brazil,,,,,,,,,,,,,,,,"In this paper we introduce Explorator, a tool for exploring the
Semantic Web data by direct manipulation. Explorator
implements a model of operations that is supported by a visual
interface that enables the user, with minimal knowledge of RDF
model, to explore an RDF database without a-priori knowledge of
data domain. Consequently, it is well suited for tasks that involve
information search, exploration and visualization.","RDF, exploratory search, exploration, ontology, semantic web.","H.5.3 Web-based interaction; H.5.4 Hypertext/Hypermedia - Navigation, H.3.3 Information Search and Retrieval ‚Äì search process, query formulation."
12/26/2020 22:54:30,2009,Faceted Views over Large-Scale Linked Data,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper3.pdf,Orri Erling,OpenLink Software Inc, US,,,,,,,,,,,,,,,,,,,"Faceted views over structured and semi structured data have
been popular in user interfaces for some years. Deploying such views of arbitrary linked data at arbitrary scale
has been hampered by lack of suitable back end technology. Many ontologies are also quite large, with hundreds of
thousands of classes.
Also, the linked data community has been concerned with
the processing cost and potential for denial of service presented by public SPARQL end points.
This paper discusses how we use Virtuoso Cluster Edition
for providing interactive browsing over billions of triples,
combining full text search, structured querying and result
ranking. We discuss query planning, run time inferencing
and partial query evaluation. This functionality is exposed
through SPARQL, a specialized web service and a web user
interface",H.5.4 [Information Systems]: Hypertext/Hypermedia; H.2.8 [Information Systems]: Database Applications,"Keywords Faceted Views, Linked Data, SPARQL, OpenLink Virtuoso, partial query evaluation, entity ranking, large ontologies"
12/26/2020 22:55:50,2009,Linked Data Authoring for Non-Experts,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper4.pdf,Markus Luczak-Rosch,Freie Universitat Berlin, Germany,Ralf Heese,Freie Universitat Berlin, Germany,,,,,,,,,,,,,,,,"The vision of the Semantic Web community is to create a
linked ‚ÄúWeb of data‚Äù providing ubiquitous data access via
machine understandable links between data resources. Due
to the need of enormous expertise for producing and consuming linked data, the idea of linked data emerges only
slowly and only a few data sources are currently available as
linked data. In this paper we present Loomp to facilitate an
increasing use of the Web data. Loomp enables non-experts
to produce and publish semantically annotated content as
easy as formatting text in word processors. Furthermore,
Loomp simplifies the reuse of content with different Web
applications.
","linked data, content authoring and publishing, Web of data","I.7.4 [Electronic Publishing]; H.4.1 [Information Systems Applications]: Office Automation‚ÄîDesktop publishing,Word processing; H.3.2 [Information Storage and Retrieval]: Information Storage"
12/26/2020 22:57:30,2009,Linking and Navigating Data in a P2P File-Sharing Network,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper10.pdf,Alan Davoust,Carleton University, Canada,Babak Esfandiari,Carleton University, Canada,,,,,,,,,,,,,,,,"We demonstrate a tool for publishing and navigating linked
data over the highly dynamic infrastructure of a P2P filesharing network. Our links are based on a URI scheme which
allows unambiguous designation of replicated data items, regardless of their location in the network. In a true decentralized P2P spirit, users publish and distribute the links
just like other data items.
","Peer-to-peer, linked data, URI, demo",H.5.4 [Hypertext/Hypermedia]: Navigation
12/26/2020 22:58:49,2009,Interlinking Distributed Social Graphs,http://events.linkeddata.org/ldow2009/papers/ldow2009_paper5.pdf,Matthew Rowe,University of Sheffield, United Kingdom,,,,,,,,,,,,,,,,,,,"The rise in use of the social web has forced web users to
duplicate their identity in fragmented information spaces.
Commonly these spaces contain rich identity representations
hidden within walled garden data silos. This paper presents
work to export social graphs from such data silos as RDF
datasets, and provide linkage between these social graphs
according to a graph matching paradigm. Our work contributes to the linked data movement by providing a decentralised social graph containing linked data describing
fragmented identity components.
","Semantic Web, Social Web, Linked Data, RDF, FOAF",H.4 [Information Systems Applications]: General
