Paper title,citation
Piecing the puzzle: Self-publishing queryable research data on the Web,2
deepschema.org: An Ontology for Typing Entities in the Web of Data,0
Lifting Data Portals to the Web of Data Or: Linked Open Data (Portals) Now for real!,12
Revisiting the Representation of and Need for Raw Geometries on the Linked Data Web,4
High-Throughput and Language-Agnostic Entity Disambiguation and Linking on User Generated Data,4
Client-side Processing of GeoSPARQL Functions with Triple Pattern Fragments,8
Learning to Identify Complementary Products from DBpedia,0
Towards a Personalized Query Answering Framework on the Web of Data,3
Practical Linked Data Access via SPARQL: The Case of Wikidata,36
SPARQL Micro-Services: Lightweight Integration of Web APIs and Linked Data,13
Rule-based Programming of User Agents for Linked Data,19
D2RML: Integrating Heterogeneous Data and Web Services into Custom RDF Graphs,8
Evaluating Approaches for Supervised Semantic Labeling,13
GEEK: Incremental Graph-based Entity Disambiguation,2
A Knowledge Base for Personal Information Management,3
What Factors Influence the Design of a Linked Data Generation Algorithm?,6
